Time,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY
08-8:55,"RS BSE-6A , Zain,R109 CS (50)","RS BSE-6A , Zain,R109 CS (50)","CN Lab BSE-6A , Muhammad Nadeem,CS Lab-6 (51)",-,-
09-09:55,"DSCI BSE-6A , Dr. Nouman,E4 CS (60)DLP BCS-8A , Dr. Atif,E5 CS (60)","EHCP BSE-6A , Dr. Fahad Samad,E5 CS (60)","DLP BCS-8A , Dr. Atif,R12 CS (70)",-,-
10-10:55,"EHCP BSE-6A , Dr. Fahad Samad,E1 CS(60)BLNC BSE-6A , Shahbaz,E2 CS (60)","BPE BSE-6A , Sobia,A-4 EE (72)",-,-,"WE BSE-6A , Shahroz,E3 CS (60)"
11-11:55,"SM BSE-6A , Shahid,A-3 EE (72)","DSCI BSE-6A , Dr. Nouman,CS Lab-6 (51)","DSCI BSE-6A , Dr. Nouman,E4 CS (60)",-,"WE Lab BSE-6A , Fahad Hussain,Lab-7 (51)"
12-12:55,"CN BSE-6A , Dr. Sufian,E3 CS (60)","CN BSE-6A , Dr. Sufian,A-4 EE (72)","DLP BCS-8A , Dr. Atif,Lab-7 (51)BLNC BSE-6A , Shahbaz,EE Lab-8 (52)EHCP BSE-6A , Dr. Fahad Samad,EE Lab-11 (50)",-,-
1-1:55,"WE BSE-6A , Shahroz,A-2 EE (72)","SM BSE-6A , Shahid,A-4 EE (72)",-,-,-
2-2:55,"BPE BSE-6A , Sobia,A-2 EE (72)","RS BSE-6A , Zain,A-4 EE (72)","CN BSE-6A , Dr. Sufian,E5 CS (60)",-,-
3-3:55,"BLNC BSE-6A , Shahbaz,A-2 EE (72)","WE BSE-6A , Shahroz,A-4 EE (72)",-,-,-
01-01:45,-,-,-,-,-
01:50-02:35,-,-,-,-,-
02:40-03:25,-,-,-,-,"SM BSE-6A , Shahid,A-2 EE (72)"
03:30-04:15,-,-,-,-,"BPE BSE-6A , Sobia,A-2 EE (72)"
